NAME,CODE,Digit_Match_Level,Count,LEN
ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,6100000000,2 digit,1,10
ALTERNATIVE MEDICINES,9500000000,2 digit,2,10
AMEBICIDES,1400000000,2 digit,3,10
AMINOGLYCOSIDES,0700000000,2 digit,4,10
ANALGESICS - ANTI-INFLAMMATORY,0900000000,2 digit,5,10
ANALGESICS - NONNARCOTIC,0200000000,2 digit,6,10
ANALGESICS - OPIOID,0500000000,2 digit,7,10
ANDROGENS-ANABOLIC,0300000000,2 digit,8,10
ANORECTAL AGENTS,0100000000,2 digit,9,10
ANTACIDS,0800000000,2 digit,10,10
ANTHELMINTICS,0400000000,2 digit,11,10
ANTI-INFECTIVE AGENTS - MISC.,0700000000,2 digit,12,10
ANTIANGINAL AGENTS,0120000000,2 digit,13,10
ANTIANXIETY AGENTS,0999000000,2 digit,14,10
ANTIARRHYTHMICS,0900000000,2 digit,15,10
ANTIASTHMATIC AND BRONCHODILATOR AGENTS,0340000000,2 digit,16,10
ANTICOAGULANTS,0210000000,2 digit,17,10
ANTICONVULSANTS,0220000000,2 digit,18,10
ANTIDEPRESSANTS,0230000000,2 digit,19,10
ANTIDIABETICS,0240000000,2 digit,20,10
ANTIDIARRHEALS,0250000000,2 digit,21,10
ANTIDOTES,0350000000,2 digit,22,10
ANTIEMETICS,0310000000,2 digit,23,10
ANTIFUNGALS,0140000000,2 digit,24,10
ANTIHISTAMINES,0353000000,2 digit,25,10
ANTIHYPERLIPIDEMICS,0500000000,2 digit,26,10
ANTIHYPERTENSIVES,0110000000,2 digit,27,10
ANTIMALARIALS,0199000000,2 digit,28,10
ANTIMYASTHENIC AGENTS,0130000000,2 digit,29,10
ANTIMYCOBACTERIAL AGENTS,0800000000,2 digit,30,10
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES,0499000000,2 digit,31,10
ANTIPARKINSON AGENTS,0400000000,2 digit,32,10
ANTIPSYCHOTICS/ANTIMANIC AGENTS,5900000000,2 digit,33,10
ANTISEPTICS & DISINFECTANTS,9200000000,2 digit,34,10
ANTIVIRALS,1200000000,2 digit,35,10
ASSORTED CLASSES,9900000000,2 digit,36,10
BETA BLOCKERS,3300000000,2 digit,37,10
BIOLOGICALS MISC,2000000000,2 digit,38,10
CALCIUM CHANNEL BLOCKERS,3400000000,2 digit,39,10
CARDIOTONICS,3100000000,2 digit,40,10
CARDIOVASCULAR AGENTS - MISC.,4000000000,2 digit,41,10
CEPHALOSPORINS,0200000000,2 digit,42,10
